"","r2","p-value"
"N",0.16437663009938,0.024
"P",0.211640317815929,0.011
"K",0.163218153668547,0.024
"OM",0.339556026578207,0.001
"PH",0.159798248114455,0.013
"Ca",0.119900566378563,0.063
"Fe",0.385849500740391,0.001
"Mn",0.612661133316657,0.001
"Cu",0.118263057292161,0.089
"Zn",0.284819935209824,0.004
