OTU ID,L918B1,L918B2,L918B3,L918F1,L918F2,L918F3,L918H1,L918H2,L918H3,L918S1,L918S2,L918S3,L918T1,L918T2,L918T3,L919B1,L919B2,L919B3,L919F1,L919F2,L919F3,L919H1,L919H2,L919H3,L919S1,L919S2,L919S3,L919T1,L919T2,L919T3,L920B1,L920B2,L920B3,L920F1,L920F2,L920F3,L920H1,L920H2,L920H3,L920S1,L920S2,L920S3,L920T1,L920T2,L920T3
OTU32,43,50,63,151,87,93,42,79,101,3,5,1,55,76,69,54,35,88,137,90,119,82,75,66,30,53,59,149,86,76,2,0,0,100,65,75,1,0,0,35,26,22,83,69,74
OTU33,16,19,4,1,0,10,43,61,63,1,1,1,1,1,0,11,18,31,8,2,4,36,92,55,9,8,9,3,38,2,0,0,0,71,3,0,0,0,0,2,1,2,7,277,2
OTU34,61,68,48,102,65,62,33,65,70,1,2,2,34,51,46,50,31,79,93,88,78,82,60,55,35,59,59,119,67,73,6,2,4,97,78,90,4,0,0,56,42,51,93,86,94
OTU35,25,45,49,167,110,122,45,38,47,1,2,2,36,71,62,32,20,59,124,93,126,60,54,44,37,48,48,152,84,79,4,1,4,104,74,87,1,0,1,34,43,35,95,84,131
OTU36,61,49,77,134,61,68,76,97,46,4,5,2,36,41,49,91,50,139,75,80,108,82,42,43,60,58,86,102,50,58,7,2,3,78,50,58,2,0,0,51,46,41,86,60,86
OTU37,51,61,62,119,60,74,35,44,76,2,4,1,44,49,51,37,23,72,102,82,122,96,71,80,44,56,48,113,79,77,3,4,1,114,53,101,1,0,1,34,27,45,93,79,90
OTU38,5,6,9,42,26,31,369,475,511,0,0,0,10,5,11,1,1,6,12,10,31,192,191,153,15,20,27,11,1,10,0,1,0,14,12,10,0,0,6,10,4,3,14,6,16
OTU39,84,56,63,99,48,62,75,64,88,0,1,1,89,69,56,69,35,101,118,77,89,116,84,78,79,57,61,138,83,58,6,0,8,71,39,46,1,0,0,16,17,18,65,38,66
OTU40,54,44,12,72,76,73,27,35,19,3,6,0,34,34,9,18,29,70,75,91,39,33,28,26,33,37,29,71,58,54,5,4,4,21,52,27,0,0,0,22,28,22,72,92,32
OTU41,39,26,56,200,101,117,77,53,59,2,2,4,25,46,39,34,21,66,167,121,150,67,58,75,26,54,74,91,70,80,6,5,3,83,68,47,0,0,1,39,31,33,69,72,129
OTU42,27,34,64,55,29,31,196,175,217,1,0,1,21,31,34,41,44,99,48,62,36,206,163,118,33,31,50,60,32,41,0,4,3,80,55,74,0,3,4,81,57,45,39,30,51
