,S1vsS2,S1vsS3,S1vsS4,S2vsS3,S2vsS4,S3vsS4
itf01g25940,0,0,0,0,0,0
itf01g25950,0,1,1,0,0,0
itf01g25960,0,0,0,0,0,0
itf01g25970,1,1,0,1,1,0
itf01g25980,0,1,0,0,0,0
itf01g25990,1,0,0,1,1,1
itf01g26000,1,0,0,0,1,1
itf01g26010,1,1,1,1,1,1
itf01g26020,1,0,0,1,1,0
itf01g26040,1,1,1,0,0,1
itf01g26050,1,0,0,1,1,0
itf01g26060,0,0,1,0,1,0
itf01g26070,1,0,0,1,1,0
itf01g26080,0,1,0,1,0,1
itf01g26090,0,1,1,1,1,0
itf01g26100,1,1,1,0,1,1
itf01g26110,1,0,0,1,1,0
itf01g26120,1,0,0,1,1,0
itf01g26130,0,1,0,0,0,0
itf01g26140,0,1,0,0,0,1
itf01g26150,0,1,1,1,1,0
itf01g26160,0,0,0,0,0,1
itf01g26170,0,0,1,0,1,1
itf01g26180,1,0,0,1,1,1
itf01g26190,0,0,0,1,0,0
itf01g26200,1,0,0,1,1,0
itf01g26210,1,0,1,1,0,1
itf01g26220,0,0,0,0,0,0
itf01g26230,0,0,0,1,0,0
itf01g26240,0,0,0,0,0,0
itf01g26250,0,0,0,0,0,0
itf01g26260,1,0,0,1,1,0
itf01g26280,1,0,1,0,0,1
itf01g26290,1,0,0,1,1,0
itf01g26300,0,0,0,0,0,0
itf01g26310,1,0,0,1,1,0
itf01g26320,1,0,0,1,1,0
itf01g26330,0,1,0,0,0,1
itf01g26340,0,1,0,0,0,1
itf01g26350,0,0,0,1,0,0
itf01g26360,0,1,0,0,0,1
itf01g26370,1,1,1,0,0,0
itf01g26380,1,0,0,1,1,1
itf01g26390,0,0,0,0,0,0
itf01g26410,0,0,0,1,1,0
itf01g26430,1,0,1,1,0,1
itf01g26440,1,0,1,0,0,0
itf01g26460,0,0,1,0,1,1
itf01g26470,1,0,1,1,1,0
itf01g26480,0,0,0,0,0,0
itf01g26490,0,1,1,0,1,1
itf01g26500,0,0,0,1,0,0
itf01g26510,0,0,0,0,0,0
itf01g26520,0,0,0,0,1,0
itf01g26530,0,0,0,0,0,0
itf01g26550,1,1,1,0,0,1
itf01g26560,0,0,0,0,0,0
itf01g26580,1,1,1,0,0,0
itf01g26590,1,1,1,1,1,0
itf01g26600,1,0,0,0,0,0
itf01g26610,1,1,1,0,0,1
itf01g26620,1,1,1,0,0,0
itf01g26630,1,0,0,1,1,0
itf01g26640,0,1,0,0,0,1
itf01g26680,0,0,0,1,0,0
itf01g26700,0,1,0,1,0,1
itf01g26710,0,1,0,1,0,1
itf01g26730,0,1,0,0,0,1
itf01g26740,1,1,1,1,0,0
itf01g26750,1,0,0,1,1,0
itf01g26760,0,1,0,0,0,1
itf01g26780,0,0,0,0,0,0
itf01g26790,0,0,0,0,1,0
itf01g26800,1,0,0,0,1,0
itf01g26810,0,0,0,0,0,0
itf01g26820,0,0,0,0,1,0
itf01g26830,0,0,1,0,0,1
itf01g26840,1,1,1,0,1,1
itf01g26850,1,1,0,1,1,0
itf01g26870,1,1,1,1,0,1
itf01g26880,1,1,1,1,1,0
itf01g26890,1,0,1,0,1,1
itf01g26920,1,0,0,0,0,0
itf01g26930,0,0,0,0,0,0
itf01g26940,1,0,0,0,1,0
itf01g26950,0,0,0,0,0,0
itf01g26960,0,0,0,0,0,0
itf01g26970,0,1,1,1,1,0
itf01g26980,0,1,1,1,1,0
itf01g26990,1,0,0,1,1,0
itf01g27000,0,0,0,0,0,0
itf01g27010,1,0,1,1,1,1
itf01g27020,1,1,1,1,1,1
itf01g27040,1,1,0,1,1,1
itf01g27110,0,0,0,1,1,0
itf01g27120,1,0,0,1,1,0
itf01g27130,1,0,1,1,1,1
itf01g27170,1,1,0,1,1,1
itf01g27180,0,1,1,1,0,1
itf01g27190,1,1,0,0,0,1
itf01g27200,1,1,0,1,1,1
itf01g27210,1,1,1,0,1,1
itf01g27220,0,0,0,0,0,0
itf01g27230,1,0,0,1,1,1
itf01g27240,0,0,0,0,0,0
itf01g27250,1,0,0,1,1,0
itf01g27260,0,0,0,0,0,0
itf01g27270,0,0,0,0,0,0
itf01g27280,0,0,0,0,0,0
itf01g27290,0,0,1,0,0,1
itf01g27300,0,0,0,0,0,1
itf01g27310,1,0,0,1,1,0
itf01g27320,1,0,1,1,1,0
itf01g27330,0,0,1,0,0,1
itf01g27340,0,1,1,1,1,1
itf01g27360,0,0,0,1,0,0
itf01g27370,0,0,0,0,0,0
itf01g27380,1,1,1,1,1,0
itf01g27390,0,1,0,1,0,1
itf01g27400,1,0,0,1,1,0
itf01g27410,1,0,0,1,1,0
itf01g27420,1,0,0,1,1,0
itf01g27430,1,0,0,1,1,0
itf01g27440,1,0,1,1,1,1
itf01g27450,0,0,0,0,1,0
itf01g27460,0,1,0,1,0,0
itf01g27470,0,1,0,0,0,0
itf01g27480,0,0,0,0,0,0
itf01g27490,1,1,1,0,1,0
itf01g27500,0,0,0,0,0,0
itf01g27510,0,1,0,0,0,0
itf01g27520,0,1,0,0,0,1
itf01g27540,1,0,1,0,0,1
itf01g27550,1,1,1,1,1,1
itf01g27560,0,0,1,1,1,0
itf01g27570,0,0,1,0,1,1
itf01g27580,0,1,1,1,1,0
itf01g27590,1,0,1,1,1,0
itf01g27600,0,0,0,1,0,0
itf01g27610,1,1,1,1,1,0
itf01g27620,0,1,0,0,0,0
itf01g27630,0,0,0,1,0,0
itf01g27650,1,1,0,0,0,0
itf01g27660,1,1,1,1,1,1
itf01g27670,1,0,0,1,1,0
itf01g27680,1,0,0,0,1,0
itf01g27690,1,0,1,1,1,0
itf01g27700,1,1,0,1,1,0
itf01g27710,1,1,0,0,1,1
itf01g27720,0,0,0,0,0,0
itf01g27730,0,0,0,0,0,0
itf01g27740,1,0,1,1,1,1
itf01g27750,0,0,0,0,0,0
itf01g27760,0,0,0,0,0,0
itf01g27770,0,0,0,0,0,0
itf01g27800,0,1,0,1,0,1
itf01g27810,0,1,1,1,1,1
itf01g27820,0,0,0,0,0,0
itf01g27830,0,0,0,0,0,0
itf01g27840,1,0,0,1,1,0
itf01g27850,1,1,1,0,1,1
itf01g27860,1,1,0,1,1,1
itf01g27870,0,0,1,0,1,1
itf01g27880,0,1,0,0,0,1
itf01g27890,0,0,0,0,0,0
itf01g27900,0,1,0,1,0,1
itf01g27910,0,1,0,0,0,1
itf01g27920,1,0,0,1,1,0
itf01g27930,0,0,0,0,1,0
itf01g27960,0,1,0,0,0,1
itf01g27970,0,1,0,1,0,1
itf01g27980,1,0,0,1,1,0
itf01g27990,0,0,0,0,0,0
itf01g28000,0,1,0,0,0,1
itf01g28010,1,0,0,1,1,0
itf01g28020,1,1,1,1,1,0
itf01g28030,0,0,0,0,0,0
itf01g28040,0,0,0,0,0,0
itf01g28050,1,1,0,0,0,0
itf01g28060,0,0,1,0,1,1
itf01g28070,0,0,1,0,1,1
itf01g28080,0,1,0,0,0,1
itf01g28090,0,0,0,1,0,0
itf01g28100,0,0,1,0,1,1
itf01g28110,0,1,0,0,0,1
itf01g28120,1,1,0,1,1,1
itf01g28130,0,1,0,1,0,1
itf01g28150,0,0,0,0,0,0
itf01g28160,1,0,0,1,1,0
itf01g28180,0,0,0,0,1,0
itf01g28190,1,0,1,0,0,0
itf01g28200,1,0,0,1,1,0
itf01g28210,0,1,0,0,0,1
itf01g28220,0,1,0,0,0,1
itf01g28230,0,1,1,0,1,1
itf01g28250,0,1,0,1,0,1
itf01g28260,0,1,0,1,0,1
itf01g28300,1,1,1,0,0,0
itf01g28310,0,1,0,1,0,1
itf01g28320,0,0,0,1,1,0
itf01g28330,1,0,0,1,1,0
itf01g28340,1,0,0,1,1,0
itf01g28350,1,0,0,1,1,1
itf01g28360,0,0,0,0,0,0
itf01g28370,0,1,0,0,0,1
itf01g28380,0,1,0,1,0,1
itf01g28410,1,0,0,1,1,0
itf01g28480,1,0,1,1,1,0
itf01g28490,1,1,1,0,0,0
itf01g28500,1,0,0,1,1,0
itf01g28510,1,0,0,0,0,0
itf01g28520,1,1,1,1,0,1
itf01g28530,0,0,0,0,0,0
itf01g28540,1,0,0,1,1,0
itf01g28550,1,1,1,1,1,0
itf01g28560,0,0,1,1,1,0
itf01g28570,1,0,0,1,1,0
itf01g28590,1,0,0,1,1,0
itf01g28600,0,0,0,0,0,0
itf01g28630,1,1,0,0,0,0
itf01g28640,1,1,0,0,0,0
itf01g28650,1,0,1,1,1,0
itf01g28660,0,0,0,0,1,0
itf01g28670,1,0,1,0,0,0
itf01g28680,1,1,1,0,1,1
itf01g28690,1,0,1,1,1,1
itf01g28700,1,0,0,0,0,0
itf01g28710,1,1,1,0,1,1
itf01g28720,0,0,0,0,1,0
itf01g28740,0,0,0,1,0,0
itf01g28750,1,0,0,1,1,0
itf01g28760,0,0,0,0,0,0
itf01g28770,0,0,0,1,0,0
itf01g28780,1,0,1,1,1,1
itf01g28790,1,1,1,1,0,1
itf01g28800,0,0,0,0,0,0
itf01g28810,0,0,1,0,1,1
itf01g28820,1,1,0,1,1,0
itf01g28830,0,0,0,0,0,0
itf01g28840,1,0,0,0,1,0
itf01g28850,1,0,0,1,1,0
itf01g28860,0,0,1,0,0,1
itf01g28870,0,0,0,0,0,0
itf01g28890,0,1,1,0,0,0
itf01g28920,1,0,0,1,0,0
itf01g28930,1,1,0,1,1,0
itf01g28950,1,0,0,1,1,0
itf01g28960,1,1,0,1,1,0
itf01g28970,0,1,1,1,1,1
itf01g28980,1,0,0,0,1,0
itf01g28990,0,0,0,0,0,0
itf01g29000,1,0,0,1,1,0
itf01g29010,1,0,0,1,1,0
itf01g29020,0,0,0,1,1,0
itf01g29030,0,0,0,0,0,0
itf01g29040,1,0,0,1,1,0
itf01g29050,1,0,0,1,1,0
itf01g29060,1,0,1,1,1,1
itf01g29070,0,0,0,0,0,0
itf01g29090,0,0,0,0,0,0
itf01g29100,1,0,0,1,1,0
itf01g29110,1,0,0,1,1,0
itf01g29120,0,0,1,0,0,1
itf01g29130,0,0,0,0,0,0
itf01g29140,0,0,0,1,0,1
itf01g29150,0,0,1,1,1,1
itf01g29160,1,0,0,1,1,0
itf01g29170,0,0,0,0,0,0
itf01g29180,0,0,0,0,0,0
itf01g29190,1,1,1,1,1,0
itf01g29200,0,0,1,0,0,0
itf01g29210,0,0,0,0,0,0
itf01g29220,0,0,0,0,0,0
itf01g29230,1,1,1,1,1,0
itf01g29240,0,0,0,0,0,0
itf01g29250,1,0,1,1,1,0
itf01g29260,0,0,0,0,0,0
itf01g29270,0,0,1,0,1,1
itf01g29280,1,0,0,0,0,0
itf01g29290,0,0,0,0,0,0
itf01g29300,0,0,0,0,0,0
itf01g29310,0,0,1,0,0,1
itf01g29320,1,0,0,1,1,1
itf01g29330,1,1,0,1,1,1
itf01g29340,0,0,0,0,0,0
itf01g29350,0,1,1,0,0,0
itf01g29370,0,0,0,0,0,0
itf01g29380,1,0,0,1,1,0
itf01g29390,1,1,0,1,1,0
itf01g29400,0,0,0,0,0,0
itf01g29410,1,1,0,1,1,1
itf01g29420,1,0,1,1,1,1
itf01g29430,0,0,0,0,0,0
itf01g29440,1,1,1,0,0,0
itf01g29450,0,0,0,1,0,0
itf01g29460,1,0,0,0,1,0
itf01g29480,1,0,0,1,1,0
itf01g29490,0,0,0,0,0,0
itf01g29500,1,1,1,1,0,1
itf01g29510,0,1,1,1,1,0
itf01g29530,1,0,0,1,1,0
itf01g29540,0,0,0,1,1,0
itf01g29550,0,0,0,0,0,0
itf01g29570,1,1,1,0,0,0
itf01g29580,0,1,1,0,0,0
itf01g29590,1,0,0,1,1,0
itf01g29610,0,1,0,0,0,0
itf01g29620,0,0,0,0,0,0
itf01g29630,0,0,1,0,1,0
itf01g29650,0,1,0,1,0,1
itf01g29660,0,0,0,0,0,0
itf01g29680,1,0,1,1,1,1
itf01g29700,0,0,0,0,0,0
itf01g29710,0,1,0,0,0,1
itf01g29720,0,0,0,0,0,0
itf01g29730,0,0,0,1,0,0
itf01g29740,1,1,1,1,0,0
itf01g29750,0,0,0,0,0,0
itf01g29760,1,0,1,1,1,1
itf01g29770,1,1,1,0,0,1
itf01g29790,0,1,0,0,0,1
itf01g29800,0,0,1,0,1,0
itf01g29830,0,1,0,1,0,1
itf01g29840,0,1,0,1,0,1
itf01g29850,1,0,1,1,0,1
itf01g29860,0,1,1,1,1,0
itf01g29870,0,0,0,0,0,0
itf01g29880,0,0,0,0,0,0
itf01g29900,0,1,0,1,0,1
itf01g29910,1,1,1,1,1,0
itf01g29920,1,0,0,1,1,0
itf01g29930,1,1,1,1,1,1
itf01g29940,1,1,0,1,1,0
itf01g29950,0,1,1,1,1,0
itf01g29960,0,0,0,1,0,0
itf01g29970,1,1,0,1,1,1
itf01g29980,0,0,0,0,0,0
itf01g29990,0,0,0,0,0,0
itf01g30000,1,0,0,1,1,0
itf01g30010,1,1,0,1,1,1
itf01g30020,1,1,0,1,1,1
itf01g30030,1,1,1,1,1,1
itf01g30040,0,1,0,0,0,1
itf01g30050,1,0,0,1,1,0
itf01g30060,0,0,1,0,0,0
itf01g30070,0,0,0,0,0,0
itf01g30080,1,0,1,0,0,0
itf01g30090,1,1,1,0,0,1
itf01g30100,1,1,1,1,1,0
itf01g30110,0,0,0,0,0,0
itf01g30120,1,0,1,0,0,1
itf01g30130,1,0,0,1,1,0
itf01g30140,1,1,0,1,1,0
itf01g30150,0,1,0,1,0,1
itf01g30160,1,1,1,0,0,1
itf01g30180,0,1,1,0,1,1
itf01g30190,1,1,1,0,0,1
itf01g30200,0,1,0,1,1,0
itf01g30210,0,1,1,1,1,0
itf01g30220,1,1,1,1,1,0
itf01g30230,0,0,0,0,1,0
itf01g30240,0,1,1,0,0,1
itf01g30250,1,1,1,0,1,0
itf01g30260,1,1,1,0,0,0
itf01g30270,1,0,0,1,1,0
itf01g30280,1,0,0,1,1,0
itf01g30290,0,0,1,0,1,1
itf01g30300,1,0,0,0,0,0
itf01g30320,0,1,1,1,1,1
itf01g30330,0,1,0,0,0,1
itf01g30340,1,0,0,0,1,0
itf01g30350,1,1,1,0,0,0
itf01g30360,1,1,0,0,1,1
itf01g30380,1,0,0,1,1,0
itf01g30390,0,1,0,0,1,1
itf01g30400,1,1,1,0,0,1
itf01g30410,0,1,0,1,0,1
itf01g30420,1,0,0,1,1,0
itf01g30430,0,1,0,0,0,1
itf01g30460,0,0,0,0,0,0
itf01g30470,1,1,0,1,1,1
itf01g30480,1,1,1,0,1,1
itf01g30490,1,1,0,0,0,0
itf01g30500,1,0,0,1,1,0
itf01g30510,1,0,0,1,1,0
itf01g30520,0,0,0,0,0,0
itf01g30530,1,1,1,1,1,0
itf01g30540,1,1,1,1,1,0
itf01g30550,1,0,1,1,1,1
itf01g30560,1,0,0,1,0,0
itf01g30570,0,1,0,1,1,0
itf01g30580,1,0,1,1,1,1
itf01g30590,0,0,0,0,0,0
itf01g30600,0,0,0,1,0,0
itf01g30610,0,0,0,0,0,0
itf01g30620,0,1,1,0,0,0
itf01g30630,0,1,1,1,0,1
itf01g30640,1,0,0,1,1,0
itf01g30650,1,0,1,1,1,0
itf01g30660,1,1,1,0,0,0
itf01g30670,0,0,0,0,0,0
itf01g30690,1,0,0,1,1,0
itf01g30710,1,0,0,1,1,0
itf01g30720,0,1,0,0,0,1
itf01g30730,1,1,1,1,0,0
itf01g30740,1,1,1,1,1,0
itf01g30750,0,0,0,0,0,0
itf01g30760,0,0,0,0,0,0
itf01g30780,0,0,1,0,0,1
itf01g30790,0,0,0,0,0,0
itf01g30800,0,0,0,0,1,0
itf01g30810,0,0,0,0,0,1
itf01g30820,1,0,0,1,1,0
itf01g30830,0,0,0,0,0,0
itf01g30840,0,0,0,0,0,0
itf01g30850,0,1,0,1,0,1
itf01g30860,0,1,0,1,0,1
itf01g30870,0,0,0,0,0,0
itf01g30890,1,1,0,1,1,1
itf01g30900,0,0,0,0,0,0
itf01g30930,0,0,1,0,0,0
itf01g30940,0,0,0,0,0,0
itf01g30950,1,0,0,1,1,0
itf01g30970,1,0,0,1,1,1
itf01g30980,1,1,0,1,1,0
itf01g30990,1,0,0,1,1,1
itf01g31000,1,1,0,1,1,1
itf01g31010,1,0,0,1,1,0
itf01g31020,1,0,0,1,1,0
itf01g31030,1,0,1,1,1,1
itf01g31040,0,0,0,0,0,0
itf01g31050,1,0,0,1,1,0
itf01g31060,1,1,0,1,1,1
itf01g31070,0,1,1,1,1,1
itf01g31080,0,0,1,0,1,1
itf01g31090,1,1,1,1,0,1
itf01g31110,0,0,0,0,0,0
itf01g31120,1,0,0,1,1,0
itf01g31130,1,0,1,1,1,1
itf01g31140,1,1,1,0,0,0
itf01g31150,0,0,0,0,1,0
itf01g31160,1,1,0,0,1,1
itf01g31170,1,1,1,1,0,0
itf01g31180,0,1,0,1,0,1
itf01g31190,0,0,0,0,0,0
itf01g31200,0,0,1,0,1,1
itf01g31210,0,0,0,0,1,1
itf01g31220,1,0,1,1,0,1
itf01g31230,0,0,1,0,1,1
itf01g31250,1,1,0,0,1,1
itf01g31260,0,0,0,0,0,0
itf01g31270,0,1,1,0,1,1
itf01g31280,0,0,0,0,0,0
itf01g31290,0,1,0,0,0,0
itf01g31300,0,0,0,1,0,0
itf01g31310,0,1,1,0,1,0
itf01g31320,0,0,0,0,0,0
itf01g31330,0,1,0,1,1,0
itf01g31340,0,1,1,1,1,1
itf01g31370,0,1,1,1,1,0
itf01g31380,1,0,1,1,0,1
itf01g31400,1,1,1,1,0,1
itf01g31410,0,0,0,0,0,0
itf01g31460,0,1,1,0,1,1
itf01g31470,1,1,1,1,1,1
itf01g31480,1,1,0,0,0,0
itf01g31490,1,1,0,1,1,1
itf01g31500,1,1,1,0,1,1
itf01g31510,0,1,1,1,0,1
itf01g31520,1,1,1,0,1,1
itf01g31530,1,0,1,0,0,0
itf01g31540,1,0,0,1,1,0
itf01g31550,1,0,0,0,1,0
itf01g31560,1,1,1,1,0,1
itf01g31570,1,1,1,0,1,1
itf01g31590,0,0,0,0,0,0
itf01g31600,1,0,0,1,1,0
itf01g31610,0,0,0,0,0,0
itf01g31620,0,0,0,0,0,0
itf01g31640,0,0,1,0,0,0
itf01g31650,1,1,0,1,1,1
itf01g31660,0,0,1,0,1,1
itf01g31670,1,1,1,1,0,1
itf01g31680,1,1,0,1,1,1
itf01g31690,1,1,0,1,1,1
itf01g31700,1,1,1,1,0,1
itf01g31710,1,1,1,0,1,1
itf01g31720,1,1,1,0,1,1
itf01g31730,1,1,1,0,1,1
itf01g31760,1,1,1,0,0,0
itf01g31770,1,0,1,1,1,1
itf01g31790,0,1,1,1,0,1
itf01g31800,0,0,0,0,0,1
itf01g31810,1,0,0,1,1,1
itf01g31820,0,0,0,0,1,1
itf01g31830,0,1,1,0,1,1
itf01g31840,1,0,0,1,1,0
itf01g31850,0,0,0,0,0,0
itf01g31860,0,1,0,0,0,1
itf01g31870,0,0,0,0,0,0
itf01g31880,1,1,0,0,1,1
itf01g31890,1,1,0,0,1,1
itf01g31900,1,0,0,1,1,0
itf01g31910,1,0,0,1,1,0
itf01g31920,1,1,1,1,0,1
itf01g31930,0,1,0,1,0,1
itf01g31940,1,0,1,1,0,1
itf01g31950,0,1,1,1,1,1
itf01g31960,1,1,0,1,1,0
itf01g31970,0,0,0,0,0,0
itf01g31980,0,0,0,1,0,0
itf01g31990,0,1,0,0,0,1
itf01g32000,0,1,0,0,0,1
itf01g32010,0,0,0,0,0,0
itf01g32020,1,0,0,0,0,0
itf01g32030,0,0,0,0,0,0
itf01g32040,0,0,1,0,0,1
itf01g32050,0,0,1,0,0,0
itf01g32060,0,0,0,0,0,0
itf01g32070,1,1,1,1,0,1
itf01g32080,0,0,0,0,0,0
itf01g32090,1,0,1,1,1,1
itf01g32100,1,1,0,0,1,1
itf01g32110,0,0,0,0,0,0
itf01g32120,1,0,1,1,1,0
itf01g32130,1,1,1,1,1,0
itf01g32140,1,1,0,0,0,1
itf01g32150,1,0,0,1,1,0
itf01g32160,1,1,0,0,1,1
itf01g32170,1,0,0,1,1,0
itf01g32190,0,0,0,0,0,0
itf01g32210,1,0,1,1,1,0
itf01g32220,0,0,0,0,1,1
itf01g32230,0,1,1,1,1,0
itf01g32240,0,1,1,1,1,1
itf01g32250,0,1,1,1,1,1
itf01g32260,0,0,0,0,0,0
itf01g32270,1,1,0,0,1,0
itf01g32280,1,1,0,0,1,1
itf01g32290,0,1,0,0,0,1
itf01g32300,1,0,0,1,1,0
itf01g32310,0,0,0,0,0,0
itf01g32320,1,0,0,0,1,0
itf01g32340,1,1,1,1,0,0
itf01g32370,0,0,1,1,1,1
itf01g32380,1,0,1,0,1,1
itf01g32390,0,1,0,1,0,1
itf01g32400,1,1,1,1,0,1
itf01g32410,1,0,0,1,1,1
itf01g32420,1,0,0,1,1,1
itf01g32430,0,0,0,0,0,1
itf01g32450,1,0,0,1,0,0
itf01g32460,1,0,1,1,0,0
itf01g32480,1,1,1,0,0,0
itf01g32510,1,0,1,1,1,0
itf01g32520,0,0,0,0,0,0
itf01g32530,0,1,1,1,1,0
itf01g32540,0,0,0,0,0,0
itf01g32550,0,0,1,0,0,1
itf01g32560,0,0,0,0,1,0
itf01g32590,1,1,1,0,1,1
itf01g32600,1,0,0,1,1,0
itf01g32610,0,0,0,1,1,0
itf01g32620,1,1,1,0,1,1
itf01g32630,0,0,0,0,0,0
itf01g32640,0,1,0,1,0,0
itf01g32650,1,0,0,1,1,0
itf01g32660,0,1,1,0,1,1
itf01g32670,0,1,0,0,0,1
itf01g32680,0,1,0,0,0,1
itf01g32690,1,1,0,1,1,1
itf01g32700,1,0,1,1,1,1
itf01g32710,1,0,1,1,0,1
itf01g32720,0,0,1,1,0,1
itf01g32730,1,1,1,1,1,0
itf01g32740,0,0,0,1,0,0
itf01g32750,0,1,0,0,0,1
itf01g32760,0,1,1,1,1,0
itf01g32770,1,0,0,1,1,1
itf01g32780,1,1,1,1,1,0
itf01g32790,0,0,0,0,0,0
itf01g32800,1,0,1,1,0,1
itf01g32810,1,1,1,1,1,1
itf01g32840,0,0,0,0,0,0
itf01g32850,0,1,0,1,0,1
itf01g32860,0,1,0,1,0,1
itf01g32870,1,1,1,0,1,1
itf01g32880,1,1,0,1,1,0
itf01g32890,1,0,0,1,1,1
itf01g32900,0,0,0,0,0,0
itf01g32910,1,0,0,1,1,0
itf01g32920,1,1,1,1,1,1
itf01g32930,1,0,0,1,1,0
itf01g32940,0,0,1,1,1,0
itf01g32950,1,0,1,1,0,0
itf01g32960,1,1,0,1,1,0
itf01g32970,0,0,0,0,0,0
itf01g32980,1,1,0,1,1,1
itf01g32990,1,0,0,0,0,0
itf01g33000,1,0,0,1,1,0
itf01g33010,0,0,0,1,0,0
itf01g33020,1,1,0,1,1,1
itf01g33030,1,1,1,1,1,1
itf01g33040,1,0,0,1,1,0
itf01g33050,0,0,0,0,0,0
itf01g33060,0,1,1,1,1,1
itf01g33070,0,1,1,1,1,0
itf01g33080,1,0,1,1,0,1
itf01g33090,1,0,1,1,1,1
itf01g33100,0,1,0,1,0,1
itf01g33110,1,0,0,1,1,0
itf01g33120,1,1,1,1,0,1
itf01g33130,0,0,0,0,0,1
itf01g33140,0,1,1,1,1,0
itf01g33150,1,1,0,1,1,0
itf01g33170,0,0,0,0,0,0
itf01g33190,0,0,0,0,0,0
itf01g33200,1,0,0,0,0,0
itf01g33210,1,0,0,1,1,0
itf01g33220,0,0,1,0,1,1
itf01g33230,1,1,1,0,1,1
itf01g33240,0,1,1,0,1,1
itf01g33250,0,1,0,0,0,1
itf01g33260,0,1,0,0,0,1
itf01g33270,1,0,0,1,1,0
itf01g33290,0,0,1,0,1,1
itf01g33300,0,0,1,0,0,1
itf01g33310,1,1,0,1,1,0
itf01g33330,0,0,0,0,0,0
itf01g33340,1,1,1,0,0,0
itf01g33350,1,1,1,0,0,0
itf01g33360,0,0,0,1,0,0
itf01g33380,1,1,0,1,1,1
itf01g33390,0,1,0,0,0,1
itf01g33400,1,1,0,1,1,1
itf01g33410,1,0,0,1,0,0
itf01g33420,1,0,0,1,1,0
itf01g33430,0,0,0,1,0,0
itf01g33440,1,1,1,1,0,1
itf01g33450,1,1,0,0,1,1
itf01g33460,1,0,0,1,0,0
itf01g33470,1,1,0,1,1,0
itf01g33480,1,1,1,0,0,0
itf01g33490,1,1,1,0,0,0
itf01g33500,1,1,1,1,1,1
itf01g33510,1,0,0,0,0,0
itf01g33540,0,0,1,0,0,1
itf01g33550,0,0,0,0,0,0
itf01g33560,0,0,0,0,0,0
itf01g33570,0,1,1,1,1,0
itf01g33580,0,0,0,0,0,0
itf01g33590,1,1,1,1,1,0
itf01g33600,0,1,0,0,0,1
itf01g33610,0,0,1,0,1,1
itf01g33620,0,0,0,0,1,0
itf01g33630,1,1,0,0,1,1
itf01g33640,1,0,1,1,0,1
itf01g33650,0,0,0,0,0,1
itf01g33660,0,0,0,1,0,0
itf01g33670,1,0,1,1,0,1
itf01g33680,0,0,0,0,0,0
itf01g33690,0,0,1,0,0,0
itf01g33710,0,0,1,0,1,1
itf01g33720,1,0,0,1,1,0
itf01g33730,0,1,0,1,0,1
itf01g33740,1,1,0,0,1,1
itf01g33750,1,0,1,1,0,1
itf01g33760,0,0,0,0,0,0
itf01g33770,0,0,1,0,0,0
itf01g33780,0,1,1,1,1,1
itf01g33800,0,0,0,0,0,0
itf01g33810,1,0,0,1,1,0
itf01g33820,0,0,0,1,0,0
itf01g33830,0,0,0,0,0,0
itf01g33840,0,0,1,0,1,1
itf01g33850,1,1,1,1,0,0
itf01g33860,0,0,0,0,0,1
itf01g33890,0,0,0,0,0,0
itf01g33900,1,0,0,1,1,0
itf01g33910,1,1,1,1,1,1
itf01g33920,0,0,0,0,0,0
itf01g33930,1,1,1,0,0,1
itf01g33950,1,1,1,0,1,1
itf01g33960,1,0,0,1,1,0
itf01g33970,0,0,1,0,1,1
itf01g33980,1,0,0,1,1,0
itf01g33990,0,0,1,0,1,1
itf01g34020,0,1,0,0,0,1
itf01g34040,0,1,0,0,0,1
itf01g34050,0,1,1,1,0,0
itf01g34060,0,1,0,0,0,1
itf01g34070,1,1,0,1,1,1
itf01g34080,1,0,0,1,1,0
itf01g34090,1,1,1,1,1,1
itf01g34100,1,1,0,1,1,0
itf01g34110,1,1,1,0,1,1
itf01g34120,1,1,0,1,1,1
itf01g34160,0,0,0,0,0,0
itf01g34170,1,1,1,1,1,1
itf01g34200,1,0,0,1,1,0
itf01g34210,1,0,1,1,1,0
itf01g34220,1,0,1,1,0,1
itf01g34230,0,0,0,0,0,1
itf01g34240,0,0,0,0,0,1
itf01g34290,0,0,0,1,0,0
itf01g34300,0,1,0,1,1,0
itf01g34310,1,1,1,1,1,0
itf01g34320,0,1,0,1,0,1
itf01g34330,1,1,0,1,1,1
itf01g34340,0,1,1,1,1,1
itf01g34350,0,0,0,0,0,0
itf01g34360,0,1,0,1,0,1
itf01g34370,0,1,1,1,0,1
itf01g34380,1,1,1,1,1,0
itf01g34390,0,0,1,1,1,0
itf01g34400,1,1,1,0,1,1
itf01g34410,0,0,0,0,1,0
itf01g34420,1,0,0,1,1,0
itf01g34430,1,1,0,1,1,1
itf01g34440,0,0,0,0,1,1
itf01g34450,1,1,1,1,1,1
itf01g34460,1,0,0,1,1,0
itf01g34470,0,0,0,1,0,0
itf01g34480,1,1,0,0,1,0
itf01g34490,1,0,0,1,0,0
itf01g34500,0,0,1,0,1,1
itf01g34510,1,0,0,1,1,0
itf01g34530,1,0,0,1,0,0
itf01g34550,0,1,1,1,1,0
itf01g34560,0,0,0,0,0,0
itf01g34570,1,0,0,1,1,0
itf01g34580,0,0,0,0,0,0
itf01g34590,1,1,0,1,1,0
itf01g34600,0,0,0,0,0,0
