,S1vsS2,S1vsS3,S1vsS4,S2vsS3,S2vsS4,S3vsS4
itf00g06950,0,0,1,0,0,1
itf00g07070,0,1,1,1,1,0
itf00g07110,1,1,1,1,0,0
itf00g07200,0,1,1,1,1,0
itf00g07240,0,1,1,1,1,0
itf00g07340,1,1,1,1,1,1
itf00g07350,1,0,0,1,1,1
itf00g07360,0,0,1,0,1,1
itf00g07380,0,0,0,0,0,0
itf00g07440,1,1,1,0,1,0
itf00g07450,1,0,1,1,0,1
itf00g07460,1,1,1,0,0,0
itf00g07520,1,1,1,1,1,0
itf00g07590,0,1,0,1,0,1
itf00g07860,1,0,0,0,0,0
itf00g07880,0,0,0,0,0,0
itf00g07890,1,1,1,0,0,0
itf00g08090,1,1,0,1,1,0
itf00g08100,0,0,0,0,0,0
itf00g08110,0,1,0,1,0,1
itf00g08120,1,0,0,1,1,0
itf00g08140,0,0,0,0,0,0
itf00g08160,1,0,1,1,1,1
itf00g08270,1,0,0,1,1,0
itf00g08380,0,0,1,0,1,1
itf00g08390,1,0,1,1,1,1
itf00g08500,0,0,0,0,0,0
itf00g08510,0,0,0,0,0,0
itf00g08530,0,1,0,0,0,1
itf00g08550,0,0,1,0,1,0
itf00g08600,0,0,0,0,0,0
itf00g08610,0,0,1,0,0,1
itf00g08620,1,1,1,0,0,0
itf00g08630,1,0,1,1,0,0
itf00g08650,0,1,0,0,0,1
itf00g08670,0,0,0,1,0,0
itf00g08680,1,0,0,1,1,0
itf00g08690,0,1,0,1,1,0
itf00g08810,1,0,1,1,1,1
itf00g08830,1,1,0,0,1,1
itf00g08860,0,0,0,1,0,0
itf00g08880,1,0,0,1,1,0
itf00g08890,1,0,0,1,1,0
itf00g08930,1,1,1,1,1,0
itf00g09040,0,0,0,1,0,1
itf00g09070,1,0,0,1,1,0
itf00g09080,0,1,1,0,1,1
itf00g09110,0,0,1,0,1,1
itf00g09120,1,1,1,1,0,1
itf00g09130,1,1,1,1,1,1
itf00g09160,1,1,1,1,1,1
itf00g09180,0,1,0,1,0,1
itf00g09200,1,1,0,1,1,1
itf00g09300,0,0,0,0,1,0
itf00g09330,1,0,1,1,0,1
itf00g09340,0,0,0,0,0,0
itf00g09620,1,1,1,1,1,0
itf00g09660,1,1,1,0,0,0
itf00g09670,0,1,0,0,0,1
itf00g09700,0,0,0,1,0,0
itf00g09840,0,0,0,0,0,0
itf00g09940,0,0,0,0,0,0
itf00g09950,1,0,0,1,1,0
itf00g09980,0,1,0,0,0,1
itf00g09990,0,1,1,1,1,0
itf00g10100,1,0,1,1,1,1
itf00g10140,0,0,0,1,0,0
itf00g10530,0,1,0,1,0,1
itf00g10550,1,0,1,1,1,1
itf00g10570,1,1,0,1,1,1
itf00g10600,0,1,0,0,0,1
itf00g10650,1,1,1,0,0,0
itf00g10660,1,1,1,0,0,1
itf00g10730,0,0,0,0,0,0
itf00g10740,1,1,1,0,0,0
itf00g10750,1,1,0,0,0,0
itf00g10770,0,1,1,0,0,0
itf00g10780,0,1,1,1,1,0
itf00g10800,0,1,1,0,0,0
itf00g10820,1,0,1,1,0,1
itf00g10830,0,1,1,0,1,0
itf00g10840,0,1,1,0,1,0
itf00g10850,0,1,1,1,1,0
itf00g10880,0,0,0,0,1,0
itf00g10890,1,0,0,1,1,0
itf00g10900,1,0,0,1,1,0
itf00g10910,1,0,0,1,0,0
itf00g10940,0,0,1,0,1,0
itf00g10960,1,0,0,1,1,0
itf00g10970,1,0,0,1,1,0
itf00g11030,0,0,0,1,0,0
itf00g11040,0,0,0,1,0,0
itf00g11050,0,1,0,1,0,1
itf00g11060,1,0,1,0,0,1
itf00g11070,0,0,0,0,0,0
itf00g11080,1,0,1,1,0,1
itf00g11100,1,0,0,1,1,0
itf00g11110,1,1,1,1,0,0
itf00g11130,0,0,1,0,1,1
itf00g11140,0,0,0,1,0,0
itf00g11150,1,0,1,0,1,1
itf00g11230,1,1,0,1,1,0
itf00g11260,0,0,0,1,0,0
itf00g11270,0,1,1,1,1,1
itf00g11320,0,0,0,0,0,0
itf00g11350,1,1,1,0,0,0
itf00g11360,0,1,0,0,0,1
itf00g11430,0,1,0,0,0,1
itf00g11500,0,1,1,1,1,1
itf00g11520,0,0,1,0,1,1
itf00g11680,0,1,1,1,0,1
itf00g11780,0,0,0,1,0,0
itf00g11800,1,0,1,1,0,1
itf00g11900,1,1,0,1,1,0
itf00g11970,1,0,1,1,1,1
itf00g11980,0,0,0,0,0,0
itf00g12320,1,0,1,1,0,0
itf00g12410,0,0,0,1,0,0
itf00g12440,0,1,1,0,1,1
itf00g12470,1,0,0,1,1,0
itf00g12550,1,1,1,1,1,0
itf00g12630,0,0,0,0,1,0
itf00g12700,0,1,0,1,0,1
itf00g12720,0,1,0,0,0,0
itf00g12800,1,0,0,1,1,0
itf00g12930,1,1,0,1,1,1
itf00g13070,0,1,0,0,0,1
itf00g13080,0,0,1,1,1,1
itf00g13090,0,1,1,0,0,0
itf00g13100,0,0,0,0,0,0
itf00g13110,0,0,0,0,1,0
itf00g13130,1,0,1,1,1,1
itf00g13140,1,0,0,1,1,0
itf00g13150,0,0,1,0,1,1
itf00g13190,0,1,0,0,0,1
itf00g13200,0,0,1,0,1,0
itf00g13230,0,1,1,0,0,0
itf00g13310,1,1,0,1,1,1
itf00g13410,1,1,0,1,1,1
itf00g13430,0,0,0,0,0,0
itf00g13450,0,0,0,0,0,1
itf00g13530,0,0,0,0,0,0
itf00g13570,1,0,1,0,0,1
itf00g13580,0,1,0,1,0,0
itf00g13610,1,1,1,0,0,1
itf00g13630,1,0,0,1,1,0
itf00g13640,1,1,1,1,1,0
itf00g13720,1,1,1,0,0,0
itf00g13780,1,0,1,1,0,1
itf00g13800,0,0,0,1,0,0
itf00g13830,1,0,0,1,1,1
itf00g13860,0,1,0,1,0,1
itf00g13870,1,0,0,1,1,0
itf00g13880,0,1,1,1,1,0
itf00g13890,0,1,0,0,0,1
itf00g13900,1,1,0,0,0,1
itf00g13920,0,1,1,0,1,1
itf00g14100,0,1,0,0,0,1
itf00g14160,1,1,1,1,0,0
itf00g14170,1,1,0,0,0,0
itf00g14220,1,1,1,0,0,0
itf00g14270,0,1,1,1,0,0
itf00g14310,0,0,0,1,0,0
itf00g14350,0,1,1,0,1,1
itf00g14360,0,0,1,1,1,1
itf00g14440,1,0,0,1,1,0
itf00g14540,1,0,0,0,1,0
itf00g14810,1,0,0,1,1,0
itf00g15200,0,0,1,0,0,1
itf00g15230,0,0,0,1,0,0
itf00g15290,0,0,0,1,0,0
itf00g15300,1,0,1,1,1,0
itf00g15320,1,0,0,1,1,1
itf00g15570,0,1,0,0,0,1
itf00g15620,1,0,0,1,1,0
itf00g15630,0,1,1,1,1,0
itf00g15700,0,0,0,0,0,0
itf00g15780,0,1,1,0,0,0
itf00g15860,1,0,1,0,0,1
itf00g15870,1,0,0,1,1,0
itf00g16010,0,1,0,0,0,1
itf00g16110,1,1,1,1,0,1
itf00g16140,0,0,0,0,0,0
itf00g16150,1,1,0,1,1,1
itf00g16180,0,0,0,0,0,1
itf00g16270,0,1,0,0,0,1
itf00g16350,1,0,0,1,1,0
itf00g16370,0,1,0,0,0,1
itf00g16480,0,1,0,1,0,1
itf00g16510,0,0,0,1,0,0
itf00g16560,1,0,1,1,1,1
itf00g16570,1,0,0,1,1,0
itf00g16590,0,0,0,1,0,0
itf00g16650,0,0,0,0,0,0
itf00g16680,0,0,0,0,0,0
itf00g16710,0,1,0,0,0,1
itf00g16770,0,0,0,0,0,0
itf00g16780,1,0,0,0,1,0
itf00g16800,1,0,1,1,0,1
itf00g16810,0,1,1,0,1,1
itf00g16820,0,0,0,0,0,0
itf00g16830,0,0,0,1,0,0
itf00g16850,0,0,0,0,0,0
itf00g16860,0,1,0,0,0,1
itf00g16880,0,0,0,0,0,0
itf00g16890,0,0,1,0,0,1
itf00g16900,0,1,0,0,0,0
itf00g16910,0,0,0,1,0,0
itf00g17020,0,1,0,1,0,0
itf00g17030,0,0,1,1,0,0
itf00g17040,1,1,1,1,1,0
itf00g17050,0,0,1,1,0,1
itf00g17070,0,1,0,1,0,1
itf00g17090,0,1,0,0,0,1
itf00g17170,0,0,0,1,0,0
itf00g17470,1,1,1,0,0,1
itf00g17480,1,0,1,0,0,1
itf00g17490,1,1,1,0,0,1
itf00g17520,1,0,0,0,1,0
itf00g17530,0,1,0,0,0,1
itf00g17550,0,0,0,1,0,0
itf00g17640,0,0,1,0,0,1
itf00g17670,0,0,1,0,1,1
itf00g17680,1,0,0,1,1,0
itf00g17870,0,1,1,1,1,0
itf00g17920,0,0,0,1,0,0
itf00g17960,0,1,1,0,0,1
itf00g17970,0,1,0,0,0,1
itf00g18000,1,1,1,0,0,1
itf00g18050,1,1,1,1,0,0
itf00g18080,1,0,0,1,1,0
itf00g18090,1,0,0,1,0,1
itf00g18150,1,1,0,0,0,0
itf00g18160,1,0,0,1,1,1
itf00g18180,1,0,0,0,1,0
itf00g18190,1,1,1,1,1,1
itf00g18200,0,0,0,0,0,0
itf00g18210,1,0,0,1,1,0
itf00g18220,0,0,0,0,0,0
itf00g18270,1,0,0,1,1,0
itf00g18500,0,1,1,0,1,0
itf00g18510,0,0,0,1,0,0
itf00g18560,0,0,0,0,0,0
itf00g18600,0,1,1,0,1,0
itf00g18620,0,0,0,0,0,0
itf00g18660,1,1,1,0,0,1
itf00g18690,0,0,0,0,1,1
itf00g18850,1,0,0,1,1,0
itf00g18870,1,1,1,1,1,1
itf00g18910,0,0,0,0,0,0
itf00g18960,1,0,0,1,1,0
itf00g18970,1,0,1,1,0,1
itf00g18980,1,0,1,1,1,1
itf00g19010,0,1,1,1,1,0
itf00g19090,1,0,1,1,0,1
itf00g19120,0,0,0,1,0,0
itf00g19150,0,0,1,0,0,1
itf00g19230,0,1,0,0,0,0
itf00g19260,1,0,0,1,1,0
itf00g19270,0,0,0,1,0,0
itf00g19310,1,1,0,1,1,1
itf00g19320,1,1,0,0,1,1
itf00g19420,1,0,1,1,1,1
itf00g19430,0,1,0,0,0,1
itf00g19440,1,0,1,1,1,1
itf00g19450,1,0,1,1,0,1
itf00g19460,1,0,0,1,1,1
itf00g19510,1,1,1,0,0,0
itf00g19520,0,1,1,0,0,0
itf00g19530,1,1,1,0,0,0
itf00g19540,0,0,1,0,0,1
itf00g19550,1,1,1,0,0,0
itf00g19560,0,0,0,0,0,0
itf00g19570,0,0,0,1,0,0
itf00g19680,1,1,1,1,1,0
itf00g19690,1,0,0,1,1,1
itf00g19700,1,0,1,1,1,0
itf00g19770,1,0,0,1,1,0
itf00g19830,1,1,1,1,1,1
itf00g20050,0,0,1,1,0,1
itf00g20060,0,1,1,0,1,1
itf00g20090,0,1,0,1,0,1
itf00g20130,1,0,0,1,1,0
itf00g20140,1,1,1,1,1,1
itf00g20160,1,1,0,1,1,1
itf00g20170,1,1,0,1,1,1
itf00g20190,1,0,0,1,1,0
itf00g20200,1,0,1,1,1,0
itf00g20210,1,0,0,1,1,0
itf00g20220,1,0,0,1,1,0
itf00g20230,1,1,1,0,1,1
itf00g20240,0,1,1,0,1,1
itf00g20290,1,1,1,1,0,0
itf00g20300,1,1,1,0,0,0
itf00g20350,1,0,1,0,1,1
itf00g20360,0,0,0,0,0,0
itf00g20370,0,0,0,0,0,0
itf00g20380,1,0,0,1,1,0
itf00g20480,0,1,1,0,0,0
itf00g20490,0,0,0,0,0,0
itf00g20610,1,0,1,1,0,1
itf00g20620,0,0,0,0,0,0
itf00g20700,0,0,0,1,0,0
itf00g20710,0,0,0,0,0,0
itf00g20840,1,0,1,1,1,1
itf00g20850,0,0,1,0,1,1
itf00g20860,1,0,1,1,1,1
itf00g20870,0,1,1,0,0,0
itf00g20880,0,1,0,0,0,1
itf00g20890,0,1,1,0,0,0
itf00g20930,1,0,0,1,1,1
itf00g21090,1,1,1,1,1,1
itf00g21100,0,1,1,0,0,0
itf00g21110,1,1,1,1,1,1
itf00g21120,1,1,1,1,1,0
itf00g21180,0,0,0,0,0,0
itf00g21220,1,1,0,1,1,1
itf00g21250,0,0,0,0,0,0
itf00g21260,1,1,1,1,1,0
itf00g21280,1,0,0,1,1,0
itf00g21290,1,0,1,1,1,1
itf00g21300,1,1,0,0,1,1
itf00g21310,1,1,0,0,1,1
itf00g21620,0,1,0,0,0,1
itf00g21630,0,0,0,0,0,0
itf00g21640,1,1,1,1,0,1
itf00g21650,0,0,1,0,1,1
itf00g21690,1,0,1,1,1,0
itf00g21790,1,1,1,0,0,1
itf00g21800,0,0,0,1,0,0
itf00g21810,1,1,1,0,0,0
itf00g21820,1,1,1,1,1,0
itf00g21830,1,1,0,1,1,1
itf00g21850,1,0,0,1,1,0
itf00g21910,0,1,0,1,0,1
itf00g21960,1,1,1,1,1,0
itf00g22070,0,0,0,0,0,0
itf00g22110,1,0,0,1,1,1
itf00g22170,0,0,0,0,0,0
itf00g22200,0,0,1,1,0,1
itf00g22230,1,0,0,1,1,0
itf00g22300,0,1,0,0,0,1
itf00g22310,0,1,0,0,0,1
itf00g22320,0,1,0,0,0,1
itf00g22500,1,0,0,1,1,0
itf00g22510,0,0,0,0,0,0
itf00g22640,0,1,1,0,0,0
itf00g22820,0,0,0,0,0,1
itf00g22890,0,0,0,0,0,0
itf00g22940,1,1,0,0,1,1
itf00g22950,0,1,0,0,0,1
itf00g23040,0,0,0,1,0,0
itf00g23050,1,1,1,0,1,1
itf00g23060,1,1,1,1,0,1
itf00g23070,1,0,0,1,1,1
itf00g23360,0,1,1,1,1,0
itf00g23370,0,1,1,0,1,1
itf00g23380,1,1,1,0,1,0
itf00g23390,0,0,0,0,0,0
itf00g23410,1,1,0,1,1,1
itf00g23500,0,0,0,0,0,0
itf00g23620,0,0,0,0,0,0
itf00g23630,0,1,1,1,1,0
itf00g23650,0,0,0,0,0,0
itf00g23660,1,0,0,1,1,0
itf00g23670,1,1,1,1,1,1
