freq,layer1,layer2,layer3
ASV2058,XMDVSXMH,Proteobacteria,Unassigned
ASV1061,XMDVSXMH,Bacteroidetes,Sphingobacterium
ASV1410,XMDVSXMH,Firmicutes,Bacillus
ASV595,XMDVSXMH,Verrucomicrobia,Unassigned
ASV631,XMDVSXMH,Proteobacteria,Pusillimonas
ASV1098,XMDVSXMH,Actinobacteria,Microbacterium
ASV707,XMDVSXMH,Proteobacteria,Pseudomonas
ASV758,XMDVSXMH,Bacteroidetes,Sphingobacterium
ASV828,XMDVSXMH,Proteobacteria,Lysobacter
ASV762,XMDVSXMH,Proteobacteria,Pseudoxanthomonas
ASV1675,XMDVSXMH,Bacteroidetes,Unassigned
ASV971,XMDVSXMH,Bacteroidetes,Unassigned
ASV1152,XMDVSXMH,Bacteroidetes,Pedobacter
ASV1010,XMDVSXMH,Proteobacteria,Aminobacter
ASV1014,XMDVSXMH,Bacteroidetes,Flavisolibacter
ASV1316,XMDVSXMH,Bacteroidetes,Pedobacter
ASV1658,XMDVSXMH,Bacteroidetes,Unassigned
ASV1703,XMDVSXMH,Firmicutes,Bacillus
ASV895,XMDVSXMH,Proteobacteria,Rhizobacter
ASV915,XMDVSXMH,Proteobacteria,Methylotenera
ASV1360,XMDVSXMH,Bacteroidetes,Pedobacter
ASV1149,XMDVSXMH,Proteobacteria,Devosia
ASV932,XMDVSXMH,Bacteroidetes,Unassigned
ASV2542,XMDVSXMH,Bacteroidetes,Flavisolibacter
ASV1451,XMDVSXMH,Proteobacteria,Pusillimonas
ASV1364,XMDVSXMH,Proteobacteria,Neorhizobium
ASV1237,XMDVSXMH,Proteobacteria,Unassigned
ASV1044,XMDVSXMH,Proteobacteria,Kaistia
ASV1155,XMDVSXMH,Bacteroidetes,Unassigned
ASV1167,XMDVSXMH,Proteobacteria,Pusillimonas
ASV1504,XMDVSXMH,Proteobacteria,Novosphingobium
ASV1800,XMDVSXMH,Proteobacteria,Sphingomonas
ASV1376,XMDVSXMH,Proteobacteria,Falsirhodobacter
ASV1030,XMDVSXMH,Proteobacteria,Sphingomonas
ASV2156,XMDVSXMH,Proteobacteria,Methylobacillus
ASV1279,XMDVSXMH,Saccharibacteria,Unassigned
ASV1575,XMDVSXMH,Bacteroidetes,Unassigned
ASV1450,XMDVSXMH,Proteobacteria,Xanthomonas
ASV2478,XMDVSXMH,Actinobacteria,Arthrobacter
ASV2590,XMDVSXMH,Bacteroidetes,Flavobacterium
ASV1649,XMDVSXMH,Actinobacteria,Aeromicrobium
ASV2063,XMDVSXMH,Proteobacteria,Unassigned
ASV1102,XMDVSXMH,Armatimonadetes,Unassigned
ASV1774,XMDVSXMH,Actinobacteria,Arthrobacter
ASV2154,XMDVSXMH,Bacteroidetes,Ohtaekwangia
ASV1662,XMDVSXMH,Proteobacteria,Pusillimonas
ASV1711,XMDVSXMH,Bacteroidetes,Vitellibacter
ASV1465,XMDVSXMH,Armatimonadetes,Unassigned
ASV1249,XMDVSXMH,Hydrogenedentes,Unassigned
ASV1301,XMDVSXMH,Proteobacteria,Cellvibrio
ASV1764,XMDVSXMH,Gemmatimonadetes,Unassigned
ASV1981,XMDVSXMH,Proteobacteria,Parapusillimonas
ASV2716,XMDVSXMH,Proteobacteria,Lysobacter
ASV2775,XMDVSXMH,Proteobacteria,Xanthomonas
ASV2350,XMDVSXMH,Firmicutes,Jeotgalicoccus
ASV1352,XMDVSXMH,Saccharibacteria,Unassigned
ASV2059,XMDVSXMH,Gemmatimonadetes,Unassigned
ASV24,JMDVSJMH,Proteobacteria,Rhizobium
ASV30,JMDVSJMH,Proteobacteria,Sphingomonas
ASV51,JMDVSJMH,Proteobacteria,Luteimonas
ASV60,JMDVSJMH,Proteobacteria,Luteimonas
ASV69,JMDVSJMH,Bacteroidetes,Parafilimonas
ASV78,JMDVSJMH,Proteobacteria,Devosia
ASV88,JMDVSJMH,Proteobacteria,Stenotrophomonas
ASV123,JMDVSJMH,Bacteroidetes,Pedobacter
ASV112,JMDVSJMH,Proteobacteria,Brevundimonas
ASV137,JMDVSJMH,Bacteroidetes,Dyadobacter
ASV2168,JMDVSJMH,Proteobacteria,Acidovorax
ASV164,JMDVSJMH,Bacteroidetes,Parafilimonas
ASV181,JMDVSJMH,Bacteroidetes,Dyadobacter
ASV167,JMDVSJMH,Bacteroidetes,Parafilimonas
ASV246,JMDVSJMH,Proteobacteria,Variovorax
ASV258,JMDVSJMH,Proteobacteria,Unassigned
ASV235,JMDVSJMH,Proteobacteria,Rhizobium
